rdsg_name,rdsg_artist,rdsg_spotify_id,rdsg_release_date,rdsg_genres,genre_chosic,is_pop,Audio Feature,Length,Tempo,Loudness,Key,Camelot,Explicit,Popularity,Happiness,Danceability,Energy,Acousticness,Instrumentalness,Liveness,Speechiness
"I Hate U, I Love U",Gnash,7vRriwrloYVaoAe3a9wJHe,2016-03-25,[],pop,TRUE,"Length: 4:11  Tempo: 93 bpm  Loudness: -13 db 
Key: F#/G♭ Minor Camelot: 11A Explicit: Yes
Popularity: 77/100

Happiness: 18/100

Danceability: 49/100

Energy: 28/100

Acousticness: 69/100

Instrumentalness: 0/100

Liveness: 10/100

Speechiness: 30/100",4:11,93,-13,F#/G♭ Minor,11A,Yes,77,18,49,28,69,0,10,30
One Call Away,Charlie Puth,5MwIGPDKeDb7SpblcaQP6O,2015-11-05,"['soft pop', 'pop']",pop,TRUE,"Length: 3:14  Tempo: 91 bpm  Loudness: -5 db 
Key: C♯/D♭ Major Camelot: 3B Explicit: Yes
Popularity: 61/100

Happiness: 47/100

Danceability: 67/100

Energy: 61/100

Acousticness: 40/100

Instrumentalness: 0/100

Liveness: 12/100

Speechiness: 3/100",3:14,91,-5,C♯/D♭ Major,3B,Yes,61,47,67,61,40,0,12,3
Let It Go,James Bay,3nnG7AM9QopHVPEuLX3Khk,2015-03-20,[],pop,TRUE,"Length: 4:20  Tempo: 147 bpm  Loudness: -10 db 
Key: C♯/D♭ Major Camelot: 3B Explicit: Yes
Popularity: 65/100

Happiness: 25/100

Danceability: 55/100

Energy: 31/100

Acousticness: 82/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 3/100",4:20,147,-10,C♯/D♭ Major,3B,Yes,65,25,55,31,82,0,11,3
For Free,DJ Khaled,20bLudc6r1NChyZcrjRd7T,2016-06-03,[],"rap, hiphop, pop",TRUE,"Length: 3:03  Tempo: 104 bpm  Loudness: -8 db 
Key: A#/B♭ Minor Camelot: 3A Explicit: Yes
Popularity: 59/100

Happiness: 50/100

Danceability: 92/100

Energy: 57/100

Acousticness: 2/100

Instrumentalness: 0/100

Liveness: 15/100

Speechiness: 20/100",3:03,104,-8,A#/B♭ Minor,3A,Yes,59,50,92,57,2,0,15,20
Die a Happy Man,Thomas Rhett,5kNe7PE09d6Kvw5pAsx23n,2015-01-01,"['country', 'acoustic country', 'pop country']","pop, country",TRUE,"Length: 3:47  Tempo: 166 bpm  Loudness: -9 db 
Key: D Major Camelot: 10B Explicit: Yes
Popularity: 79/100

Happiness: 40/100

Danceability: 60/100

Energy: 39/100

Acousticness: 42/100

Instrumentalness: 0/100

Liveness: 12/100

Speechiness: 3/100",3:47,166,-9,D Major,10B,Yes,79,40,60,39,42,0,12,3
White Iverson,Post Malone,6eT7xZZlB2mwyzJ2sUKG6w,2016-12-09,[],"pop, rap",TRUE,"Length: 4:16  Tempo: 130 bpm  Loudness: -8 db 
Key: G Major Camelot: 9B Explicit: Yes
Popularity: 80/100

Happiness: 31/100

Danceability: 68/100

Energy: 56/100

Acousticness: 23/100

Instrumentalness: 0/100

Liveness: 8/100

Speechiness: 4/100",4:16,130,-8,G Major,9B,Yes,80,31,68,56,23,0,8,4
Lost Boy,Ruth B,0zMzyHAeMvwq5CRstru1Fp,2017-05-05,[],"pop, r&b",TRUE,"Length: 4:36  Tempo: 123 bpm  Loudness: -9 db 
Key: G Major Camelot: 9B Explicit: Yes
Popularity: 73/100

Happiness: 37/100

Danceability: 59/100

Energy: 13/100

Acousticness: 96/100

Instrumentalness: 0/100

Liveness: 9/100

Speechiness: 5/100",4:36,123,-9,G Major,9B,Yes,73,37,59,13,96,0,9,5
Hide Away,Daya,3WALaE7UdNXx8VJ4lpWCK8,2016-10-07,[],pop,TRUE,"Length: 3:11  Tempo: 95 bpm  Loudness: -4 db 
Key: B Minor Camelot: 10A Explicit: Yes
Popularity: 76/100

Happiness: 47/100

Danceability: 88/100

Energy: 83/100

Acousticness: 22/100

Instrumentalness: 0/100

Liveness: 7/100

Speechiness: 9/100",3:11,95,-4,B Minor,10A,Yes,76,47,88,83,22,0,7,9
Humble and Kind,Tim McGraw,4Pn0JlCUusD2QHjADuOzuV,2015-01-01,['country'],"rock, country",FALSE,"Length: 4:19  Tempo: 101 bpm  Loudness: -7 db 
Key: B Major Camelot: 1B Explicit: Yes
Popularity: 71/100

Happiness: 14/100

Danceability: 36/100

Energy: 48/100

Acousticness: 68/100

Instrumentalness: 0/100

Liveness: 12/100

Speechiness: 3/100",4:19,101,-7,B Major,1B,Yes,71,14,36,48,68,0,12,3
Body Like a Back Road,Sam Hunt,7FpBQ067pHB67deawpbbcY,2020-04-03,"['country', 'pop country']","pop, rock, country",TRUE,"Length: 2:45  Tempo: 99 bpm  Loudness: -7 db 
Key: F Major Camelot: 7B Explicit: Yes
Popularity: 72/100

Happiness: 66/100

Danceability: 73/100

Energy: 46/100

Acousticness: 45/100

Instrumentalness: 0/100

Liveness: 14/100

Speechiness: 3/100",2:45,99,-7,F Major,7B,Yes,72,66,73,46,45,0,14,3
I'm the One,DJ Khaled,3DXncPQOG4VBw3QHh3S817,2017-06-22,[],"pop, hiphop, rap",TRUE,"Length: 4:48  Tempo: 81 bpm  Loudness: -4 db 
Key: G Major Camelot: 9B Explicit: Yes
Popularity: 68/100

Happiness: 82/100

Danceability: 60/100

Energy: 67/100

Acousticness: 5/100

Instrumentalness: 0/100

Liveness: 13/100

Speechiness: 4/100",4:48,81,-4,G Major,9B,Yes,68,82,60,67,5,0,13,4
Wild Thoughts,DJ Khaled,1OAh8uOEOvTDqkKFsKksCi,2017-06-22,[],"pop, r&b, hiphop, rap",TRUE,"Length: 3:24  Tempo: 98 bpm  Loudness: -3 db 
Key: G#/A♭ Major Camelot: 4B Explicit: Yes
Popularity: 71/100

Happiness: 62/100

Danceability: 61/100

Energy: 68/100

Acousticness: 3/100

Instrumentalness: 0/100

Liveness: 13/100

Speechiness: 8/100",3:24,98,-3,G#/A♭ Major,4B,Yes,71,62,61,68,3,0,13,8
Redbone,Childish Gambino,3vQ4T78TTMOjQXGfXVKQJo,2016-12-02,[],"hiphop, rap",FALSE,"Length: 5:26  Tempo: 160 bpm  Loudness: -11 db 
Key: C♯/D♭ Major Camelot: 3B Explicit: Yes
Popularity: 84/100

Happiness: 58/100

Danceability: 74/100

Energy: 35/100

Acousticness: 18/100

Instrumentalness: 1/100

Liveness: 12/100

Speechiness: 8/100",5:26,160,-11,C♯/D♭ Major,3B,Yes,84,58,74,35,18,1,12,8
iSpy,Kyle,2EEeOnHehOozLq4aS0n6SL,2016-12-02,[],"pop, hiphop, rap",TRUE,"Length: 4:13  Tempo: 75 bpm  Loudness: -7 db 
Key: G Major Camelot: 9B Explicit: Yes
Popularity: 70/100

Happiness: 67/100

Danceability: 75/100

Energy: 65/100

Acousticness: 38/100

Instrumentalness: 0/100

Liveness: 23/100

Speechiness: 29/100",4:13,75,-7,G Major,9B,Yes,70,67,75,65,38,0,23,29
Love on the Brain,Rihanna,5oO3drDxtziYU2H1X23ZIp,2016-01-28,[],pop,TRUE,"Length: 3:44  Tempo: 172 bpm  Loudness: -5 db 
Key: E Minor Camelot: 9A Explicit: Yes
Popularity: 87/100

Happiness: 38/100

Danceability: 51/100

Energy: 64/100

Acousticness: 7/100

Instrumentalness: 0/100

Liveness: 8/100

Speechiness: 5/100",3:44,172,-5,E Minor,9A,Yes,87,38,51,64,7,0,8,5
Don't Wanna Know,Maroon 5,5o3GnrcFtvkdf3zFznuSbA,2018-06-15,['pop'],"pop, hiphop, rap",TRUE,"Length: 3:34  Tempo: 100 bpm  Loudness: -6 db 
Key: G Major Camelot: 9B Explicit: Yes
Popularity: 68/100

Happiness: 42/100

Danceability: 78/100

Energy: 61/100

Acousticness: 34/100

Instrumentalness: 0/100

Liveness: 10/100

Speechiness: 7/100",3:34,100,-6,G Major,9B,Yes,68,42,78,61,34,0,10,7
Feel It Still,Portugal. The Man,6QgjcU0zLnzq5OrUoSZ3OK,2017-06-16,[],rock,FALSE,"Length: 2:43  Tempo: 79 bpm  Loudness: -5 db 
Key: C♯/D♭ Minor Camelot: 12A Explicit: Yes
Popularity: 85/100

Happiness: 75/100

Danceability: 80/100

Energy: 80/100

Acousticness: 4/100

Instrumentalness: 0/100

Liveness: 7/100

Speechiness: 5/100",2:43,79,-5,C♯/D♭ Minor,12A,Yes,85,75,80,80,4,0,7,5
Rockstar,Post Malone,0e7ipj03S05BNilyu5bRzt,2018-04-27,[],"pop, hiphop, rap",TRUE,"Length: 3:38  Tempo: 160 bpm  Loudness: -6 db 
Key: F Minor Camelot: 4A Explicit: Yes
Popularity: 85/100

Happiness: 13/100

Danceability: 59/100

Energy: 52/100

Acousticness: 12/100

Instrumentalness: 0/100

Liveness: 13/100

Speechiness: 7/100",3:38,160,-6,F Minor,4A,Yes,85,13,59,52,12,0,13,7
Now or Never,Halsey,126oeltvIg79HHP4yAi4rq,2017-06-02,[],pop,TRUE,"Length: 3:34  Tempo: 110 bpm  Loudness: -5 db 
Key: F#/G♭ Minor Camelot: 11A Explicit: Yes
Popularity: 68/100

Happiness: 45/100

Danceability: 67/100

Energy: 59/100

Acousticness: 11/100

Instrumentalness: 0/100

Liveness: 13/100

Speechiness: 4/100",3:34,110,-5,F#/G♭ Minor,11A,Yes,68,45,67,59,11,0,13,4
Juju on That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,1lItf5ZXJc1by9SbPeljFd,2016-09-30,[],others,FALSE,"Length: 2:24  Tempo: 161 bpm  Loudness: -4 db 
Key: C♯/D♭ Major Camelot: 3B Explicit: Yes
Popularity: 61/100

Happiness: 78/100

Danceability: 81/100

Energy: 89/100

Acousticness: 0/100

Instrumentalness: 0/100

Liveness: 39/100

Speechiness: 28/100",2:24,161,-4,C♯/D♭ Major,3B,Yes,61,78,81,89,0,0,39,28
Cold,Maroon 5,2NlTOhsAamXOaZciOXbITb,2018-06-15,['pop'],"pop, hiphop, rap",TRUE,"Length: 3:54  Tempo: 100 bpm  Loudness: -6 db 
Key: A Minor Camelot: 8A Explicit: Yes
Popularity: 70/100

Happiness: 41/100

Danceability: 69/100

Energy: 72/100

Acousticness: 14/100

Instrumentalness: 0/100

Liveness: 5/100

Speechiness: 11/100",3:54,100,-6,A Minor,8A,Yes,70,41,69,72,14,0,5,11
Drowning,A Boogie wit da Hoodie,1f5cbQtDrykjarZVrShaDI,2017-09-29,['melodic rap'],"hiphop, rap",FALSE,"Length: 3:29  Tempo: 129 bpm  Loudness: -5 db 
Key: F Minor Camelot: 4A Explicit: Yes
Popularity: 79/100

Happiness: 81/100

Danceability: 84/100

Energy: 81/100

Acousticness: 50/100

Instrumentalness: 0/100

Liveness: 12/100

Speechiness: 6/100",3:29,129,-5,F Minor,4A,Yes,79,81,84,81,50,0,12,6
Down,Marian Hill,0ZQfn5nh2TnVE6Q0AT8eXr,2016-06-20,[],pop,TRUE,"Length: 3:17  Tempo: 113 bpm  Loudness: -15 db 
Key: C Minor Camelot: 5A Explicit: Yes
Popularity: 56/100

Happiness: 7/100

Danceability: 68/100

Energy: 36/100

Acousticness: 68/100

Instrumentalness: 1/100

Liveness: 12/100

Speechiness: 13/100",3:17,113,-15,C Minor,5A,Yes,56,7,68,36,68,1,12,13
Small Town Boy,Dustin Lynch,7mS200vKsSSVgrbMxWza54,2017-09-08,"['country', 'acoustic country']",country,FALSE,"Length: 3:25  Tempo: 73 bpm  Loudness: -6 db 
Key: A Major Camelot: 11B Explicit: Yes
Popularity: 70/100

Happiness: 67/100

Danceability: 56/100

Energy: 74/100

Acousticness: 3/100

Instrumentalness: 0/100

Liveness: 36/100

Speechiness: 3/100",3:25,73,-6,A Major,11B,Yes,70,67,56,74,3,0,36,3
What Lovers Do,Maroon 5,0GxQ1A5L9xnMOytbP6eKBG,2018-06-15,['pop'],"pop, r&b, rap",TRUE,"Length: 3:19  Tempo: 110 bpm  Loudness: -5 db 
Key: F Minor Camelot: 4A Explicit: Yes
Popularity: 72/100

Happiness: 42/100

Danceability: 80/100

Energy: 60/100

Acousticness: 8/100

Instrumentalness: 0/100

Liveness: 10/100

Speechiness: 6/100",3:19,110,-5,F Minor,4A,Yes,72,42,80,60,8,0,10,6
The Fighter,Keith Urban,4Iw8bM0BCRmrN778ZODnJa,2016-12-16,['country'],"pop, country",TRUE,"Length: 3:04  Tempo: 132 bpm  Loudness: -5 db 
Key: B Minor Camelot: 10A Explicit: Yes
Popularity: 63/100

Happiness: 76/100

Danceability: 68/100

Energy: 85/100

Acousticness: 3/100

Instrumentalness: 0/100

Liveness: 20/100

Speechiness: 5/100",3:04,132,-5,B Minor,10A,Yes,63,76,68,85,3,0,20,5
Psycho,Post Malone,3swc6WTsr7rl9DqQKQA55C,2018-04-27,[],"pop, r&b, hiphop, rap",TRUE,"Length: 3:41  Tempo: 140 bpm  Loudness: -8 db 
Key: G#/A♭ Major Camelot: 4B Explicit: Yes
Popularity: 59/100

Happiness: 46/100

Danceability: 76/100

Energy: 56/100

Acousticness: 53/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 11/100",3:41,140,-8,G#/A♭ Major,4B,Yes,59,46,76,56,53,0,11,11
Lucid Dreams,Juice Wrld,285pBltuF7vW8TeWk8hdRR,2018-12-10,"['melodic rap', 'emo rap']",rap,FALSE,"Length: 3:59  Tempo: 84 bpm  Loudness: -7 db 
Key: F#/G♭ Minor Camelot: 11A Explicit: Yes
Popularity: 86/100

Happiness: 22/100

Danceability: 51/100

Energy: 57/100

Acousticness: 35/100

Instrumentalness: 0/100

Liveness: 34/100

Speechiness: 20/100",3:59,84,-7,F#/G♭ Minor,11A,Yes,86,22,51,57,35,0,34,20
Friends,Marshmello & Anne-Marie,1wIyr1y5wiWqo7nqbxHpWt,2018-02-09,['edm'],pop,TRUE,"Length: 3:22  Tempo: 95 bpm  Loudness: -2 db 
Key: A Minor Camelot: 8A Explicit: Yes
Popularity: 60/100

Happiness: 53/100

Danceability: 63/100

Energy: 88/100

Acousticness: 21/100

Instrumentalness: 0/100

Liveness: 13/100

Speechiness: 5/100",3:22,95,-2,A Minor,8A,Yes,60,53,63,88,21,0,13,5
Bad at Love,Halsey,3OzCF9i6Ey7EkkAYJztmKp,2017-06-02,[],pop,TRUE,"Length: 3:01  Tempo: 118 bpm  Loudness: -4 db 
Key: C Major Camelot: 8B Explicit: Yes
Popularity: 84/100

Happiness: 61/100

Danceability: 68/100

Energy: 75/100

Acousticness: 6/100

Instrumentalness: 0/100

Liveness: 9/100

Speechiness: 3/100",3:01,118,-4,C Major,8B,Yes,84,61,68,75,6,0,9,3
Taste,Tyga,2toVe5hfuIi97ytDPDbQFt,2019-06-07,[],"pop, hiphop, rap",TRUE,"Length: 3:52  Tempo: 98 bpm  Loudness: -7 db 
Key: C Major Camelot: 8B Explicit: Yes
Popularity: 71/100

Happiness: 34/100

Danceability: 88/100

Energy: 56/100

Acousticness: 2/100

Instrumentalness: 0/100

Liveness: 10/100

Speechiness: 12/100",3:52,98,-7,C Major,8B,Yes,71,34,88,56,2,0,10,12
Fefe,6ix9ine,43VXG87ajppI8mO1Mxo8vu,2018,[],"pop, hiphop, rap",TRUE,"Length: 2:59  Tempo: 126 bpm  Loudness: -9 db 
Key: C♯/D♭ Major Camelot: 3B Explicit: Yes
Popularity: 72/100

Happiness: 39/100

Danceability: 93/100

Energy: 38/100

Acousticness: 9/100

Instrumentalness: 0/100

Liveness: 12/100

Speechiness: 41/100",2:59,126,-9,C♯/D♭ Major,3B,Yes,72,39,93,38,9,0,12,41
I Fall Apart,Post Malone,75ZvA4QfFiZvzhj2xkaWAh,2016-12-09,[],"pop, rap",TRUE,"Length: 3:43  Tempo: 144 bpm  Loudness: -5 db 
Key: G#/A♭ Minor Camelot: 1A Explicit: Yes
Popularity: 79/100

Happiness: 29/100

Danceability: 56/100

Energy: 54/100

Acousticness: 7/100

Instrumentalness: 0/100

Liveness: 20/100

Speechiness: 4/100",3:43,144,-5,G#/A♭ Minor,1A,Yes,79,29,56,54,7,0,20,4
Gummo,6ix9ine,2HBtd9MYDd2xDVu8Zc6pwt,2018-04-10,[],rap,FALSE,"Length: 2:37  Tempo: 78 bpm  Loudness: -5 db 
Key: A#/B♭ Minor Camelot: 3A Explicit: Yes
Popularity: 66/100

Happiness: 67/100

Danceability: 69/100

Energy: 77/100

Acousticness: 5/100

Instrumentalness: 0/100

Liveness: 14/100

Speechiness: 16/100",2:37,78,-5,A#/B♭ Minor,3A,Yes,66,67,69,77,5,0,14,16
Lights Down Low,Max,1sYSP7gKa5kdKIfhANfori,2016-04-08,[],pop,TRUE,"Length: 3:43  Tempo: 81 bpm  Loudness: -8 db 
Key: F Minor Camelot: 4A Explicit: Yes
Popularity: 61/100

Happiness: 59/100

Danceability: 62/100

Energy: 49/100

Acousticness: 6/100

Instrumentalness: 0/100

Liveness: 10/100

Speechiness: 3/100",3:43,81,-8,F Minor,4A,Yes,61,59,62,49,6,0,10,3
You Make It Easy,Jason Aldean,2TXtN9MoV308Y0z1HvyTfV,2018-04-13,"['country', 'acoustic country']","country, rock",FALSE,"Length: 3:13  Tempo: 132 bpm  Loudness: -5 db 
Key: G Major Camelot: 9B Explicit: Yes
Popularity: 81/100

Happiness: 51/100

Danceability: 54/100

Energy: 57/100

Acousticness: 16/100

Instrumentalness: 0/100

Liveness: 10/100

Speechiness: 3/100",3:13,132,-5,G Major,9B,Yes,81,51,54,57,16,0,10,3
Outside Today,YoungBoy Never Broke Again,5PIfH6BzcmH04RDmtzF0BN,2018-04-27,[],rap,FALSE,"Length: 2:09  Tempo: 134 bpm  Loudness: -5 db 
Key: B Minor Camelot: 10A Explicit: Yes
Popularity: 73/100

Happiness: 6/100

Danceability: 85/100

Energy: 67/100

Acousticness: 14/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 7/100",2:09,134,-5,B Minor,10A,Yes,73,6,85,67,14,0,11,7
Wow,Post Malone,7xQAfvXzm3AkraOtGPWIZg,2019-09-06,[],"pop, rap",TRUE,"Length: 2:29  Tempo: 100 bpm  Loudness: -7 db 
Key: B Minor Camelot: 10A Explicit: Yes
Popularity: 80/100

Happiness: 39/100

Danceability: 83/100

Energy: 54/100

Acousticness: 14/100

Instrumentalness: 0/100

Liveness: 10/100

Speechiness: 21/100",2:29,100,-7,B Minor,10A,Yes,80,39,83,54,14,0,10,21
Dancing with a Stranger,Sam Smith & Normani,3xgT3xIlFGqZjYW9QlhJWp,2020-10-30,['soft pop'],"r&b, pop",TRUE,"Length: 2:51  Tempo: 103 bpm  Loudness: -8 db 
Key: G#/A♭ Major Camelot: 4B Explicit: Yes
Popularity: 75/100

Happiness: 35/100

Danceability: 74/100

Energy: 52/100

Acousticness: 45/100

Instrumentalness: 0/100

Liveness: 22/100

Speechiness: 7/100",2:51,103,-8,G#/A♭ Major,4B,Yes,75,35,74,52,45,0,22,7
If I Can't Have You,Shawn Mendes,2bT1PH7Cw3J9p3t7nlXCdh,2019-06-19,[],pop,TRUE,"Length: 3:11  Tempo: 124 bpm  Loudness: -4 db 
Key: D Major Camelot: 10B Explicit: Yes
Popularity: 77/100

Happiness: 87/100

Danceability: 69/100

Energy: 82/100

Acousticness: 49/100

Instrumentalness: 0/100

Liveness: 13/100

Speechiness: 6/100",3:11,124,-4,D Major,10B,Yes,77,87,69,82,49,0,13,6
Goodbyes,Post Malone,0t3ZvGKlmYmVsDzBJAXK8C,2019-09-06,[],"rap, hiphop, pop",TRUE,"Length: 2:54  Tempo: 150 bpm  Loudness: -4 db 
Key: F Major Camelot: 7B Explicit: Yes
Popularity: 79/100

Happiness: 16/100

Danceability: 55/100

Energy: 65/100

Acousticness: 46/100

Instrumentalness: 0/100

Liveness: 10/100

Speechiness: 8/100",2:54,150,-4,F Major,7B,Yes,79,16,55,65,46,0,10,8
Look Back at It,A Boogie wit da Hoodie,3Ol2xnObFdKV9pmRD2t9x8,2018-12-21,['melodic rap'],rap,FALSE,"Length: 2:59  Tempo: 96 bpm  Loudness: -5 db 
Key: D#/E♭ Minor Camelot: 2A Explicit: Yes
Popularity: 78/100

Happiness: 54/100

Danceability: 79/100

Energy: 59/100

Acousticness: 41/100

Instrumentalness: 0/100

Liveness: 15/100

Speechiness: 4/100",2:59,96,-5,D#/E♭ Minor,2A,Yes,78,54,79,59,41,0,15,4
Pop Out,Polo G,6uFn47ACjqYkc0jADwEdj1,2019-06-07,[],rap,FALSE,"Length: 2:46  Tempo: 168 bpm  Loudness: -7 db 
Key: C♯/D♭ Major Camelot: 3B Explicit: Yes
Popularity: 77/100

Happiness: 26/100

Danceability: 77/100

Energy: 64/100

Acousticness: 15/100

Instrumentalness: 0/100

Liveness: 7/100

Speechiness: 47/100",2:46,168,-7,C♯/D♭ Major,3B,Yes,77,26,77,64,15,0,7,47
Beautiful People,Ed Sheeran,4evmHXcjt3bTUHD1cvny97,2019-06-28,['soft pop'],"pop, r&b",TRUE,"Length: 3:17  Tempo: 93 bpm  Loudness: -8 db 
Key: F Minor Camelot: 4A Explicit: Yes
Popularity: 75/100

Happiness: 55/100

Danceability: 64/100

Energy: 65/100

Acousticness: 12/100

Instrumentalness: 0/100

Liveness: 8/100

Speechiness: 19/100",3:17,93,-8,F Minor,4A,Yes,75,55,64,65,12,0,8,19
Wake Up in the Sky,Gucci Mane & Bruno Mars & Kodak Black,2G1tXoGBaEMJ7FKGnkf6ud,2018-12-07,"['southern hip hop', 'rap', 'trap']","rap, hiphop, pop",TRUE,"Length: 3:24  Tempo: 143 bpm  Loudness: -5 db 
Key: E Minor Camelot: 9A Explicit: Yes
Popularity: 75/100

Happiness: 37/100

Danceability: 80/100

Energy: 58/100

Acousticness: 0/100

Instrumentalness: 0/100

Liveness: 36/100

Speechiness: 5/100",3:24,143,-5,E Minor,9A,Yes,75,37,80,58,0,0,36,5
Whiskey Glasses,Morgan Wallen,57TEkZN3f84tFJFHFrD4pO,2018-04-27,['country'],country,FALSE,"Length: 3:54  Tempo: 150 bpm  Loudness: -5 db 
Key: F#/G♭ Major Camelot: 2B Explicit: Yes
Popularity: 85/100

Happiness: 69/100

Danceability: 62/100

Energy: 68/100

Acousticness: 36/100

Instrumentalness: 0/100

Liveness: 12/100

Speechiness: 3/100",3:54,150,-5,F#/G♭ Major,2B,Yes,85,69,62,68,36,0,12,3
The London,Young Thug & J. Cole & Travis Scott,3s4mrPrEFFPF0LmAfutW0n,2019-08-16,"['rap', 'melodic rap', 'trap']","rap, hiphop",FALSE,"Length: 3:20  Tempo: 98 bpm  Loudness: -9 db 
Key: E Minor Camelot: 9A Explicit: Yes
Popularity: 76/100

Happiness: 21/100

Danceability: 78/100

Energy: 52/100

Acousticness: 2/100

Instrumentalness: 0/100

Liveness: 16/100

Speechiness: 21/100",3:20,98,-9,E Minor,9A,Yes,76,21,78,52,2,0,16,21
Murder on My Mind,YNW Melly,7eBqSVxrzQZtK2mmgRG6lC,2018-08-03,['melodic rap'],rap,FALSE,"Length: 4:28  Tempo: 115 bpm  Loudness: -8 db 
Key: C Minor Camelot: 5A Explicit: Yes
Popularity: 81/100

Happiness: 74/100

Danceability: 76/100

Energy: 73/100

Acousticness: 14/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 5/100",4:28,115,-8,C Minor,5A,Yes,81,74,76,73,14,0,11,5
Act Up,City Girls,3A2yGHWIzmGEIolwonU69h,2018-11-16,[],rap,FALSE,"Length: 2:38  Tempo: 97 bpm  Loudness: -5 db 
Key: G#/A♭ Major Camelot: 4B Explicit: Yes
Popularity: 69/100

Happiness: 31/100

Danceability: 94/100

Energy: 64/100

Acousticness: 2/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 19/100",2:38,97,-5,G#/A♭ Major,4B,Yes,69,31,94,64,2,0,11,19
Knockin' Boots,Luke Bryan,2opQESZb7JsRKCvWMBPeuv,2020-08-07,"['country', 'acoustic country']","rock, country",FALSE,"Length: 3:20  Tempo: 132 bpm  Loudness: -4 db 
Key: D Major Camelot: 10B Explicit: Yes
Popularity: 74/100

Happiness: 64/100

Danceability: 73/100

Energy: 68/100

Acousticness: 13/100

Instrumentalness: 0/100

Liveness: 34/100

Speechiness: 22/100",3:20,132,-4,D Major,10B,Yes,74,64,73,68,13,0,34,22
Swervin,A Boogie wit da Hoodie,1wJRveJZLSb1rjhnUHQiv6,2018-12-21,['melodic rap'],rap,FALSE,"Length: 3:09  Tempo: 93 bpm  Loudness: -5 db 
Key: A Major Camelot: 11B Explicit: Yes
Popularity: 72/100

Happiness: 43/100

Danceability: 58/100

Energy: 66/100

Acousticness: 2/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 30/100",3:09,93,-5,A Major,11B,Yes,72,43,58,66,2,0,11,30
One Thing Right,Marshmello & Kane Brown,7gZXCjAy6nxKCQWLEeX4LZ,2019-06-21,['edm'],"pop, country",TRUE,"Length: 3:01  Tempo: 88 bpm  Loudness: -2 db 
Key: E Major Camelot: 12B Explicit: Yes
Popularity: 77/100

Happiness: 44/100

Danceability: 66/100

Energy: 63/100

Acousticness: 6/100

Instrumentalness: 0/100

Liveness: 58/100

Speechiness: 5/100",3:01,88,-2,E Major,12B,Yes,77,44,66,63,6,0,58,5
Shotta Flow,NLE Choppa,5OFlp1fOrfiSXOjw4wuSgy,2019-12-23,[],"hiphop, rap",FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Eyes on You,Chase Rice,4w95iGC6NrxZJ5o3D7bWyV,2017-11-17,"['country', 'acoustic country']","rock, country",FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Robbery,Juice Wrld,6iaSML1PIYq936g62BDtBq,2019-03-08,"['melodic rap', 'emo rap']",rap,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
The Box,Roddy Ricch,0nbXyq5TXYPCO7pr3N8S4I,2019-12-06,['melodic rap'],rap,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
WAP,Cardi B,4Oun2ylbjFKMPTiaSbbCih,2020-08-07,[],"pop, rap, r&b",TRUE,"Length: 3:07  Tempo: 133 bpm  Loudness: -8 db 
Key: C♯/D♭ Major Camelot: 3B Explicit: Yes
Popularity: 80/100

Happiness: 36/100

Danceability: 94/100

Energy: 45/100

Acousticness: 2/100

Instrumentalness: 0/100

Liveness: 8/100

Speechiness: 38/100",3:07,133,-8,C♯/D♭ Major,3B,Yes,80,36,94,45,2,0,8,38
Chasin' You,Morgan Wallen,0WiyWiJDkNCyGNqkv7NByy,2018-04-27,['country'],country,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
High Fashion,Roddy Ricch,07KXEDMj78x68D884wgVEm,2019-12-06,['melodic rap'],"pop, rap",TRUE,"Length: 3:40  Tempo: 98 bpm  Loudness: -8 db 
Key: B Minor Camelot: 10A Explicit: Yes
Popularity: 73/100

Happiness: 51/100

Danceability: 83/100

Energy: 50/100

Acousticness: 27/100

Instrumentalness: 0/100

Liveness: 30/100

Speechiness: 11/100",3:40,98,-8,B Minor,10A,Yes,73,51,83,50,27,0,30,11
