name,artist,spt_id,release_year,length_sec,tempo,loudness,scale,key_num,camelot,af_hap,af_dan,af_enr,af_aco,af_ins,af_liv,af_spe,lyric,is_bb,cv_fold
make it bun dem - flinch remix,skrillex,4NaHJVEfq2y3Xeq0plrsux,2012,235,140,-5,Minor,4,9A,26,75,72,1,0,11,11,spoken loud greetings to the world vice ala one big gong zilla longside skrillex end for now oh wait i wont we mash up the place turn up the bass and make dem all have fun and we ablaze the fiya make it bun dem we mash up the place turn up the bass and make some soundboy run and we will end your week just like a sunday we mash up the place turn up the bass and make them all have fun skrillex ablaze the fiya make it bun dem we mash up the place turn up the bass and make some soundboy run and we will end your week just like a sunday rudeboy rudeboy rudeboy rudeboy hop on opposed what people supposed and to we opposed i wouldnt supposed he killin the flows were sicker than most we pitching the post now whered outta mozed never ya falter never ya fluff never ya hot and never your sun keep up your guard and neva ya drop all in my car canana my jum skrillex and gong the legend lives on we give dem it hard we give dem it strong we give dem it rough we give it long we give dem it right and never yet wrong sweeter the victory the hotter the battle the bigger the cover the fatter the bottle the place has to rattle a my tabernacle this rudeboy bass mash up the place rudeboy rudeboy rudeboy rudeboy we mash up the place turn up the bass and make them all have fun and we ablaze the fire make it bun dem we mash up the place turn up the bass and make some soundboy run and we will end your week just like a sunday we mash up the place turn up the bass and make them all have fun skrillex ablaze the fiya make it bun dem we mash up the place turn up the bass and make some soundboy run and we will end your week just like a sunday rudeboy rudeboy rudeboy rudeboy pack up and run weh pack up and run weh pack up and run wehuh pack up and run weh pack up and run weh pack up and run wehuh rudeboy pack up and run weh pack up and run weh pack up and run wehuh pack up and run weh pack up and run weh pack up and run wehuh rudeboy pack up and run weh pack up and run weh pack up and run wehuh pack up and run weh pack up and run weh pack up and run wehuh rudeboy pack up and run weh pack up and run weh pack up and run wehuh pack up and run weh pack up and run weh pack up and run rudeboy bass mash up the place,0,2
look into my eyes,brando,4XjwHKoDGFWHFi45edRl7y,2020,154,116,-7,Major,6,2B,44,79,54,12,0,12,5,look into my eyes can you see theyre open wide would i lie to you would i lie to you dont you know its true that its no one else but you would i lie to you would i lie to you baby its hard for me to demonstrate that i might work wanna stay up late club girls call want a serenade so i hop hop on just to feel the need lie there aint no lie im just a man and ill always want you its hard for me to love you like i do when im always on the road baby you should know its hard for me to love you just to prove i aint jealous let me go yeah oh oh oh look into my eyes can you see theyre open wide would i lie to you would i lie to you baby dont you know its true that its no one else but you would i lie to you baby would i lie to you baby back of the car you start to jump on me like heaven you are just finally know me and i i fell in love again and i aint looking for a friend its hard for me to love you like i do when im always on the road baby you should know its hard for me to love you just to prove i aint jealous let me go yeah oh oh oh look into my eyes can you see theyre open wide would i lie to you would i lie to you baby dont you know its true that its no one else but you would i lie to you baby would i lie to you baby look into my eyes can you see theyre open wide would i lie to you would i lie to you baby dont you know its true that its no one else but you would i lie to you baby would i lie to you baby look into my eyes can you see theyre open wide would i lie to you would i lie to you baby dont you know its true that its no one else but you would i lie to you baby would i lie to you baby,0,3
we are the police,sparks,1cNHW91XkcPxisLZuDbc0h,2021,82,140,-7,Minor,6,11A,96,62,81,59,0,39,5,we are the police and we have got some routine questions youre not suspected but we have to ask some questions it wont take longhow bout some coffee with your questions it wont take long we dont have very many questions not many questions can you describe the night and how your wife went missing there was a storm and i looked up and she was missing and did you try at all to dive in and to save her the sea was rough and with annettehow could i save hеr the storm was very strong therе was no way to save her and anyway i had annette i had to save her i had annette we heard the rumors that youre somewhat of a raver were there some problems between you that made you waver that is an insult i loved ann was always faithful how about that comic piece in which you said you killed her was that a prank or something more an aspiration everybody knows my acts are full of provocation well that bout wraps it up we sure are grateful henry it now seems clear to us there is no guilty party it was an act of god that is our firm conclusion it was an act of god and pardon the intrusion,0,1
feel this moment,pitbull,0Hf4aIJpsN4Os2f0y0VqWl,2012,229,136,-4,Major,7,9B,54,67,76,4,0,34,16,ask for money and get advice huh ask for advice get money twice huh im from the dirty huh but that chico nice ha yall call it a moment i call it a life one day while my light is glowin ill be in my castle golden but until the gates are open i just wanna feel this moment woahwoah i just wanna feel this moment woahwoah i just wanna feel this moment mr worldwide cmon christina aguilera oye mamita cmon dale que la cosa está rica haha haha i just wanna feel this moment woo feel this moment reporting live from the tallest building in tokyo long ways from them hard ways filled with zoes and oyes dade county always 305 all day and now baby we can parlay or baby we can party heh she read books hahaha especially about red rooms and tieups yeah i got her hooked huh cause she seen me in a suit with the red tie tied up meet and greet nice to meet ya but time is money only difference is i own it now lets stop time and enjoy this moment dale woo one day while my light is glowin ill be in my castle golden but until the gates are open i just wanna feel this moment woahwoah cmon i just wanna feel this moment woahwoah ha yeah i just wanna feel this moment woo come on feel this moment i see the future but live for the moment make sense dont it ha now make dollars i mean billions yeah im a genius i mean brilliant brilliant the streets is what schooled him schooled him and made him slicker than slick rick the ruler yeah ive lost a lot and learned a lot but im still undefeated like shula im far from cheap ahhaha i break down companies with all my peeps thats right baby we can travel the world and i can give you and all you can see time is money only difference is i own it like a stopwatch lets stop time and enjoy this moment dale woo one day while my light is glowin ill be in my castle golden but until the gates are open i just wanna feel this moment woahwoah cmon i just wanna feel this moment oh woahwoah ha yeah i just wanna feel this moment woo cmon yeah ccome on feel this moment woahwoah i just wanna feel this moment woahwoah i just wanna feel this moment,1,0
faithfully,tobymac,1BllALFzMck8VAezqbpoKV,2022,166,84,-11,Major,0,8B,39,51,25,63,0,11,3,its been a long year it almost took me down i swear life was so good im not so sure we knew what we had ill never be the same man ill never feel like i felt before felt before its been a hard year it almost took me down but when my world broke into pieces you were there faithfully when i cried out to you jesus you made a way for me i may never be the same man but im a man who still believes when i cried out to you jesus you were there faithfully ive had a hard time findin the blue in the skies above me and if im keepin it real i been halffakin the happy they see i may look like the same man but im half the man i was half the man i was its been a hard year it almost took me down but when my world broke into pieces you were there faithfully when i cried out to you jesus you made a way for me i may never be the same man but im a man who still believes when i cried out to you jesus you were there faithfully in my darkest hour you met me so quietly so gently you said youd never leave and you stood by your word so quietly so gently in all my pain you met me you said youd never leave and you stood by your word cause when my world broke into pieces you were there faithfully when i cried out to you jesus you made a way for me i may never be the same man but im a man who still believes when i cried out to you jesus you were there faithfully when i cried out to you jesus you were there faithfully,0,3
come with me (deadmeat),steve aoki,00NYs0hRSC1kJe8o1PiHYp,2012,257,130,-5,Minor,6,11A,61,59,88,4,1,10,7,i dare you to come along with me lets take a walk along the stars leaving this world behind and were drifting go to a place we can feel alive so if youre down come with me ill bring you up youll be happy youre here tonight if your down come with come with come with me so if youre down come with me ill bring you up youll be happy youre here tonight if your down come with come with come with me away from the city and lights well float across the sky come with me come with me come with me staring in your eyes constellations start a line come with me come with me come with me i dare you to come along with me lets take a walk along the stars leaving this world behind and were drifting go to a place we can feel alive feel the time slow down are you ready go to a place where we feel alive so if youre down come with me ill bring you up youll be happy youre here tonight if your down come with come with come with me so if youre down come with me ill bring you up youll be happy youre here tonight if your down come with come with come with me away from the city and lights well float across the sky come with me come with me come with me staring in your eyes constellations start a line come with me come with me come with me,0,0
enemy,newsboys,6HT7hv701dSybZPM3hg682,2013,215,148,-3,Major,0,8B,66,52,82,0,0,14,4,used to think you didnt care i was just a pawn in the game you were playin puttin walls up everywhere never thought you heard a word i was prayin i stood in the way when i needed to run to you but i was too proud to say take away the blindness lead me through the dark dont let me fall apart save me from my bitterness show me who i am make me who you want me to be i know i pushed you away lookin for someone to blame yeah now i can see ive been my own worst enemy who was i to sit and judge always pointing my crooked finger holdin tight onto a grudge all along i was a chief of sinners i stood in the way when i needed to run to you lord i was too proud to say take away the blindness lead me through the dark dont let me fall apart save me from my bitterness show me who i am make me who you want me to be i know i pushed you away lookin for someone to blame yeah now i can see ive been my own worst enemy no you never gave up on me no you never gave up on me no you never gave up on me no you made a lamp unto my feet no you never gave up on me no you never gave up on me no you never gave up on me take away the blindness lead me through the dark dont let me fall apart save me from my bitterness show me who i am make me who you want me to be i know i pushed you away lookin for someone to blame yeah now i can see ive been my own worst enemy oh oh now i can see ive been my own worst enemy oh oh now i can see ive been my own worst enemy no you never gave up on me no you never gave up on me no you never gave up on me no you never gave up on me no you never gave up on me no you never gave up on me,0,0
wake me up,avicii,0nrRP2bk19rLc0orkWPQk2,2013,247,124,-6,Major,2,10B,64,53,78,0,0,16,5,feelin my way through the darkness guided by a beatin heart i cant tell where the journey will end but i know where to start they tell me im too young to understand they say im caught up in a dream well life will pass me by if i dont open up my eyes well thats fine by me so wake me up when its all over when im wiser and im older all this time i was findin myself and i didnt know i was lost so wake me up when its all over when im wiser and im older all this time i was findin myself and i didnt know i was lost i tried carryin the weight of the world but i only have two hands hope i get the chance to travel the world but i dont have any plans wish that i could stay forever this young not afraid to close my eyes lifes a game made for everyone and love is the prize so wake me up when its all over when im wiser and im older all this time i was findin myself and i didnt know i was lost so wake me up when its all over when im wiser and im older all this time i was findin myself and i i didnt know i was lost i didnt know i was lost i didnt know i was lost i didnt know i was lost i didnt know i didnt know i didnt know,1,0
five,sleeping at last,15UttZPJXWsb1fSLwNSfov,2019,355,111,-13,Major,6,2B,14,45,42,80,35,11,4,i want to watch the universe expand i want to break it into pieces small enough to understand and put it all back together again in the quiet of my private collection it feels like an outofbody experiencebut something gets lost from a safe distance and now i cant put my mind to rest and i cant help but second guess living behind this oneway mirror im hypnotized by this anomaly such strange uncharted territorya white flag waves in the dark between my head and my heart my armor falls apart as if i could let myself be seen even deeply known like i was already brave enough to let go and now i want to generously lose this energy that ive been hanging onto so desperately i finally feel the universe expandits hidden in heartbeats exhales and in the hope of open hands,0,3
i do,john legend,1xV8hp4N7QNCtjY3GYoymI,2020,167,105,-4,Major,6,2B,63,72,67,42,0,26,7,when i think about the messes ive made think about the rest of my days i wonder if youll stick with me or walk away i think about all of my faults will you love me just because do you believe that we could last forever babe why dont we go all the way all the way all the way all the way all the way i hope we go all the way all the way i hope you do too i do i do i do i do yeah i hope you do too oh i hope you do too oh i wonder if you i do i do i do i do ayy i hope you do too ooh i hope you do too when i think about every time time that your eyes light up like mine mine i know i want that feeling every single night am i crazy to think that you could ever want it as bad as i do i need it more than you could ever realize why dont we go all the way why dont we go all the way all the way all the way all the way i hope we go all the way all the way i hope you do too i do i do i do i do i do i hope you do too oh i hope you do too i hope you do too woah oh oh ah i do i do i do i do i do i hope you do too i hope you do i hope you do too i hope you do too do you do you do you cause i do i do i do do you do you do you cause i do i do i do i do i do i do i do oh oh i hope you do too i hope you do too oh ive been wonderin if you i do i do i do i do i hope you do too i hope you do too why dont we go all the way why dont we go all the way all the way all the way all the way i hope we go all the way all the way i hope you do too ooh,0,0
i hope she's drinkin' tonight,riley green,2ydZrWKjSGrxQTebDfDnj5,2022,188,128,-5,Minor,1,12A,67,55,83,0,0,8,4,she hadnt called she aint been around just got a text somebody saw her out downtown in that little bar where we used to go if shes still the same girl i used to know shes havin a good time sippin jack and coke with a lime if shes a little bit tipsy she just might tell me shes missed me with any luck shell kiss me tastin like whiskey i hope shes drinkin tonight shell need a ride and ill have a chevy waitin right outside ill fire it up and ill take her home turn off thе lights and turn that record on i hope shes drinkin tonight im pullin up and im gеttin out and im hopin shes orderin another round because i know that my only chance is if shes holdin one in her hand on that dance floor that might lead to more if shes a little bit tipsy she just might tell me shes missed me with any luck shell kiss me tastin like whiskey i hope shes drinkin tonight shell need a ride and ill have a chevy waitin right outside ill fire it up and ill take her home turn off the lights and turn that record on i hope shes drinkin tonight yeah i hope shes drinkin tonight when she said we were over she was stonecold sober i hope shes drinkin tonight shell need a ride and ill have a chevy waitin right outside ill fire it up and ill take her home turn off the lights and turn that record on i hope shes drinkin tonight yeah i hope shes drinkin tonight,0,3
vagabond,misterwives,310BgC3S2W0Cl8w0OmyS3n,2015,185,96,-7,Major,7,9B,53,64,52,68,0,30,3,there you go there you stay keeping low never wanna play wandering far disappearing feet stuck in place not moving youve been up and down down youve been low low low troubled sea so deep troubled home no sleep youve been flying so high avoiding the road pretending to not feel alone pretending to not feel alone where to fly who knows winds rapidly blow from branch to branch you go when you see the sun dear friend let it glow dont shun it all dont let it fall from your hands how you used to crawl youre walking tall no need to hide behind the clouds in the sky youve been up and down down youve been low low low troubled sea so deep troubled home no sleep youve been flying so high avoiding the road pretending to not feel alone pretending to not feel alone vagabond is you ran the mile no shoes if the sun goes down too soon embrace the starryeyed moon vagabond is you swam the sea at the darkest blue you made it made it through you made it made it through oh youve been up and down down youve been low low low troubled sea so deep troubled home no sleep youve been flying so high avoiding the road pretending to not feel alone pretending to not feel alone,0,4
die a happy man,thomas rhett,5kNe7PE09d6Kvw5pAsx23n,2015,227,166,-9,Major,2,10B,40,60,39,42,0,12,3,baby last night was hands down one of the best nights mm that ive had no doubt between the bottle of wine and the look in your eyes and the marvin gaye then we danced in the dark under september stars in the pourin rain and i know that i cant ever tell you enough that all i need in this life is your crazy love if i never get to see the northern lights or if i never get to see the eiffel tower at night oh if all i got is your hand in my hand baby i could die a happy man a happy man baby mm baby that red dress brings me to my knees oh but that black dress makes it hard to breathe youre a saint youre a goddess the cutest the hottest a masterpiece its too good to be true nothin better than you in my wildest dreams and i know that i cant ever tell you enough that all i need in this life is your crazy love if i never get to see the northern lights or if i never get to see the eiffel tower at night oh if all i got is your hand in my hand baby i could die a happy man yeah yeah mm mmmm i dont need no vacation no fancy destination baby youre my great escape we could stay at home listen to the radio and dance around the fireplace oh if i never get to build my mansion in georgia or drive a sports car up the coast of california oh if all i got is your hand in my hand baby i could die a happy man baby i could die a happy man oh i could die a happy man you know i could girl i could die i could die a happy man mmmm,1,1
____45_____,bon iver,2QCC3NcTehTdnVAIIsh4CH,2016,166,86,-15,Major,2,10B,18,41,12,97,1,15,6,well i been carved in fire well i been carved in fire i been caught in fire whaaaa well i been caught in fire i been carved in fire i been caught in fire what comes prior to i been caught in a fire i stayed down the other night i been caught in fire i stayed down without knowing what the truth is i been caught in fire i stayed down the other night 5 lane divers i been caught in fire i stayed down without knowing what the truth is fire fire,0,2
back on road,gucci mane,39liuGHPxn2sAyvO6DINor,2016,149,148,-7,Minor,1,12A,75,83,67,33,0,14,32,zone zone zone six six its my nigga though guwop i got money that i saved then im back on road get my jewelry out the safe cause im back on road yeah i still do these hoes the same when im back on road if you wasnt there for me when i was all alone then bitch dont expect no love when im back im just an east atlanta nigga with a body on his belt i done had a million beefs but i aint never call for help ill take a nigga bricks and i done took a nigga reup put that pistol on your partner made him piss all on himself oh yeah got your bitch so pissy drunk that she done threw up on herself yeah fore i send her back to you she gon have guwop on her breath guwop im the last real nigga left im on an island by myself im my only competition so im battlin with myself its gucci facin prison drug addiction its like im battlin with myself i done shook off all my demons now im back to myself yeah you didnt keep it real nigga so just keep it to yourself self waitin on gucci mane to call you nigga better not hold your breath guwop i got money that i saved then im back on road get my jewelry out the safe cause im back on road burr i still do these hoes the same when im back on road if you wasnt there for me when i was all alone then bitch dont expect no love when im back these niggas fakin like they happy but they mad im home home im the 2k16 al capone i slap a nigga with a strap and then i throw him a hunnid i know he be like fuck goin to trial man just throw me the money throw me cant eat cant sleep man i miss these streets muhammad ali and the streets miss me i went from trappin on the block to niggas trappin for me skrrt i left the trappin went to rap thought youd be happy for me huh and then your jealousy turned to hate and you wrote a statement on me uh but when they let me out them gates my bitch was waitin on me mwah see i aint mad at you homie we aint got no beef no but i aint got no rat for you i know you must love cheese pussy i got money that i saved then im back on road get my jewelry out the safe cause im back on road i still do these hoes the same when im back on road if you wasnt there for me when i was all alone then bitch dont expect no love when im back,0,3
heathens,boyce avenue,1z8XWVMluW5uMdnDAo0kqr,2017,193,180,-9,Minor,4,9A,38,58,24,74,0,19,6,all my friends are heathens take it slow wait for them to ask you who you know please dont make any sudden moves you dont know the half of the abuse all my friends are heathens take it slow wait for them to ask you who you know please dont make any sudden moves you dont know the half of the abuse welcome to the room of people who have rooms of people that they loved one day docked away just because we check the guns at the door doesnt mean our brains will change from hand grenades youll never know the psychopath sitting next to you youll never know the murderer sitting next to you youll think howd i get here sitting next to you but after all ive said please dont forget all my friends are heathens take it slow wait for them to ask you who you know please dont make any sudden moves you dont know the half of the abuse we dont deal with outsiders very well they say newcomers have a certain smell you have trust issues not to mention they say they can smell your intentions youll never know the freakshow sitting next to you youll have some weird people sitting next to you youll think how did i get here sitting next to you but after all ive said please dont forget all my friends are heathens take it slow wait for them to ask you who you know please dont make any sudden moves you dont know the half of the abuse all my friends are heathens take it slow wait for them to ask you who you know whyd you come you knew you should have stayed i tried to warn you just to stay away and now theyre outside ready to bust it looks like you might be one of us,0,2
good as hell,lizzo,6KgBpzTuTRPebChN0VTyzV,2019,159,96,-3,Minor,0,5A,54,68,92,26,0,44,9,i do my hair toss check my nails baby how you feelin feelin good as hell hair toss check my nails baby how you feelin feelin good as hell woo child tired of the bullshit go on dust your shoulders off keep it moving yes lord tryna get some new shit in there swimwear goingtothepool shit come now come dry your eyes you know you a star you can touch the sky i know that its hard but you have to try if you need advice let me simplify if he dont love you anymore just walk your fine ass out the door i do my hair toss check my nails baby how you feelin feelin good as hell hair toss check my nails baby how you feelin feelin good as hell feeling good as hell baby how you feelin feelin good as hell woo girl need to kick off your shoes gotta take a deep breath time to focus on you all the big fights long nights that you been through i got a bottle of tequila i been saving for you boss up and change your life you can have it all no sacrifice i know he did you wrong we can make it right so go and let it all hang out tonight cause he dont love you anymore so walk your fine ass out the door and do your hair toss check my nails baby how you feelin feelin good as hell hair toss check my nails baby how you feelin feelin good as hell show it off tonight hair toss check my nails baby how you feelin feelin good as hell and we gon be alright hair toss check my nails baby how you feelin feelin good as hell mmm yeah alright listen if he dont love you anymore then walk your fine ass out the door and do your hair toss check my nails baby how you feelin feelin good as hell woohoo hair toss check my nails baby how you feelin feelin good as hell show it off tonight hair toss check my nails baby how you feelin feelin good as hell and we gon make it right hair toss check my nails baby how you feelin feelin good as hell feelin good as hell baby how you feelin feelin good as hell,1,4
i got you - cheat codes remix,bebe rexha,5o5m5E8wtEB2BMr1gwI9Gc,2017,199,98,-5,Minor,9,8A,32,65,80,9,0,10,5,i can see you hurting ive been through the same thing baby dont you worry i got you i got you i just wanna know you tell me all your secrets lookin like you need it cause i got you you oh you i got you i got you cause i got you you oh you i got you i got you we can get high oh nahnahnah we can get low oh nahnahnah let me be your friend baby let me in tell you no lies oh nahnahnah we can get lost oh nahnahnah take it all off oh nahnahnah let me be your friend baby let me in give it to me all oh nahnahnah cause i got you cause i got you i got tell me what youre thinkin always overthinkin i just wanna love you i got you i got you dont have to be so guarded lets finish what we started its all i ever wanted cause i got you you oh you i got you i got you we can get high oh nahnahnah we can get low oh nahnahnah let me be your friend baby let me in tell you no lies oh nahnahnah we can get lost oh nahnahnah take it all off oh nahnahnah let me be your friend baby let me in give it to me all oh nahnahnah cause i got you cause i got you i got id do the time for you tell a lie for you yeah baby thats what i do id walk the line for you take a shot for you yeah baby thats what i do cause i got you its true id die for you id die for you i got you cause i got you cause i got you i got,0,2
dna,craig david,0DfQV2Ri0l83o7Nbzm45vQ,2022,177,122,-3,Minor,9,8A,68,67,88,6,0,41,4,theres somethin in your dna cause heaven did it right baby when you were made you hit it different i feel some type of way ill never be never be the same theres somethin in your dna na cause heaven did it right baby when you were made you hit it different i feel some type of way ill never be never be thе same theres somеthin in your dna yeah when youre close to me we cant help but explore but explore you touch every part of me yeah and when we kissed you left me beggin for more more i just want more youre in my bones youre in my veins it feel like home when youre holdin me youre in my soul and i cant explain you take me to another place theres somethin in your dna cause heaven did it right baby when you were made you hit it different i feel some type of way ill never be never be the same theres somethin in your dna na cause heaven did it right baby when you were made you hit it different i feel some type of way ill never be never be the same theres somethin in your dna yeah when i saw you it felt like we met before met before in another life another time i know that for sure that for sure lets not pretend this aint what weve been waiting for for what we waited for youre in my bones in my bones youre in my veins in my veins it feel like home like home when youre holdin me yeah youre in my soul in my soul and i cant explain cant explain you take me to another place theres somethin in your dna dna cause heaven did it right baby when you were made were made you hit it different i feel some type of way type of way ill never be never be the same theres somethin in your dna na ooh yeah cause heaven did it right baby when you were made you hit it different i feel some type of way type of way ill never be never be the same theres somethin in your dna ohoh ah oh dna,0,3
"padam, padam",patricia kaas,113ADosB4IAVi1YnL4gzU4,2012,278,87,-9,Minor,9,8A,6,31,31,90,0,21,3,youve got a great car yeah whats wrong with it today i used to have one too maybe ill come and have a look i really love your hairdo yeah im glad you like mine too see what lookin pretty cool will get ya so what do you do oh yeah i wait tables too no i havent heard your band cause you guys are pretty new but if you dig on vegan food well come over to my work ill have them cook you something that youll really love cause i like you yeah i like you and im feelin so bohemian like you yeah i like you yeah i like you and i feel wahoo woooo ooh ooh ooooh ooh ooh ooooh ooh ooh ooooh ooh ooh ooooh wait whos that guy just hanging at your pad hes looking kinda bored yeah you broke up thats too bad i guess its fair if he always pays the rent and he doesnt get bent about sleeping on the couch when im there cause i like you yeah i like you and im feeling so bohemian like you yeah i like you yeah i like you and i feel wahoo woooo ooh ooh ooooh ooh ooh ooooh ooh ooh ooooh im getting wise and im feeling so bohemian like you its you that i want so please just a casual casual easy thing is it it is for me and i like you yeah i like you and i like you i like you i like you i like you i like you i like you i like you and i feel wahoo woooo ooh ooh ooooh ooh ooh ooooh ooh ooh ooooh ooh ooh ooooh,0,4
you're mines still,yung bleu,6tiKwZppNjrls8RsPQwK6r,2021,226,87,-5,Minor,5,4A,34,61,62,31,0,11,11,so you wanna be riding around with your new bitch thats real cute dont have me drag you and her out that motherfuckin car key your shit ha i wish i would see you in that bentley so i could flat all four of your motherfuckin tires and you know what i just got tickets to the lakers game anyway nigga you could never if i ever made you angry girl just know that it get better with time time they say time heals she cant see her life without me shes so blind still fuck that nigga you can tell him that youre mines still and she dont wanna go to sleep she angry lately shes been noticing hе aint me i wish that we can change placеs dont want no new new faces she got my heartbeat racing they say time heals dont go build no life without me cause youre mines still oh and i dont wanna go unless you make me lately ive been gone im feeling crazy yeah im from the bricks we gotta whole lot of bricks you gotta whole lotta tricks and i wanna see what you do with them i just saw you in miami girl what you doing here i hope you with your girlfriends i aint pay attention to your heart i played ya now she fell in love with an nba player had her on the stage now she ballin at the stadium matter fact i hope you stay with him cause i dont wanna go unless you take me i know you feel the pain and she dont wanna go to sleep she angry lately shes been noticing he aint me i wish that we can change places dont want no new new faces she got my heartbeat racing they say time heals dont go build no life without me cause youre mine still and i dont wanna go unless you make me down on my knees hoping you take me better tell that nigga you mine heard youve been trying to tie the knot girl tell me you lyin let me beat that pussy up one more time let me beat that pussy up one more time i know that you fiend for this i know that you did not forget so dont go to sleep and she dont wanna go to sleep she angry lately she been noticing he aint me oh he aint me i wish that we can change places dont want no new new faces she got my heartbeat racing hey yeah they say time heals they say dont go build no life without me cause youre mines still oh and i dont wanna go unless you make me lately ive been gone im feeling crazy,1,1
no ragrets,settle your scores,2Z9bI9lwI30760YPwGWI1m,2018,148,103,-7,Major,4,12B,63,51,95,0,13,30,5,its times like these that call for drinking cause we all know thats what youre thinking ive been trying to keep my head held high but my heart wont stop sinking weve learned a lot this year we had our ups and downs but were better for it and looking back its safe to say i wouldnt do anything different and i mean it go shout it from the rooftops singing three strikes but were still swinging though we know we cant go home every mistake we make just helps us grow grow up give in thats what they tell me but i wont let them win in spite of everything cause no matter what they say at the end of the day the only person whose approval really matters is me forget the criticism we dont need anyones permission so just listen go shout it from the rooftops singing three strikes but were still swinging though we know we cant go home every mistake we make just helps us grow you bet your ass that we wont back down our backs to the wall but well stand our ground cause were in it for the long haul were in this for the long haul when we look back well see the end that justified our means when we look back well say at least we did things our way brace yourself for a fight that youll never forget a debt weve paid for with every single drop of sweat brace yourself for a fight that youll never forget a debt weve paid for with every drop of sweat go shout it from the rooftops singing three strikes but were still swinging though we know we cant go home every mistake we make just helps us grow you bet your ass that we wont back down our backs to the wall but well stand our ground cause were in it for the long haul were in this for the long haul,0,0
hot girl bummer,blackbear,6jRq8gaZhMUyy5RclRPcAf,2020,188,130,-7,Minor,6,11A,69,78,56,13,0,39,8,fuck you and you and you i hate your friends and they hate me too im through im through im through this that hot girl bummer anthem turn it up and throw a tantrum this that hot girl bummer anthem turn it up and throw a tantrum this that throw up in your birkin bag hook up with someone random this that social awkward suicide that buy your lips and buy your likes i swear she had a man but shit hit different when its thursday night that college dropout music every day leg day she be too thick and my friends are all annoying but we go dumb yeah we go stupid this that 10k on the table just so we can be secluded and the vodka came diluted one more line im superhuman fuck you and you and you i hate your friends and they hate me too im through im through im through this that hot girl bummer anthem turn it up and throw a tantrum fuck you and you and you i hate your friends and they hate me too fuck you and you and you this that hot girl bummer anthem turn it up and throw a tantrum this that hot girl bummer twostep they cant box me in im too left this that drip its more like oceans they cant fit me in a trojan out of pocket but im always in my bag yeah thats the slogan this that whos all there im pullin up wit a emo chick thats broken this that college dropout music every day leg day she be too thick and my friends are all annoying but we go dumb yeah we go stupid this that 10k on the table just so we can be secluded and the vodka came diluted one more line im superhuman fuck you and you and you i hate your friends and they hate me too im through im through im through this that hot girl bummer anthem turn it up and throw a tantrum fuck you and you and you i hate your friends and they hate me too fuck you and you and you this that hot girl bummer anthem turn it up and throw a tantrum this that college dropout music every day leg day she be too thick and my friends are all annoying but we go dumb yeah we go stupid this that college dropout music every day leg day she be too thick and my friends are all annoying but we go dumb yeah we go stupid we go stupid we go stupid we go and you want me to change fuck you fuck you and you and you i hate your friends and they hate me too im through im through im through this that hot girl bummer anthem turn it up and throw a tantrum fuck you and you and you i hate your friends and they hate me too fuck you and you and you this that hot girl bummer anthem turn it up and throw a tantrum,1,2
moves,suki waterhouse,6TT7B4MigCJCc0tqKYEpZC,2022,193,85,-8,Major,0,8B,37,57,44,58,0,35,2,i cant forget that night you said i looked like suzi quatro in the morning light faded to oblivion and i said thats alright at least we feel alive at least we feel alive theres nothing you can do i know that i want this no one likes to lose know that i got this ima put some goddamn moves on you babe i know you need it die a double death for you death for your secrets ill find another way for you wait til you see it put some goddamn moves on you god knows you need it i know youre in the city should be spending all my time with you i cant forget that feeling even if i wanted to i know that youre scared someones gonna ruin you dont make it complicated dont tell me what youre going through theres nothing you can do i know that i want this no one likes to lose know that i got this ima put some goddamn moves on you babe i know you need it die a double death for you death for your secrets ill find another way for you wait til you see it put some goddamn moves on you god knows you need it you should know you should know you should know that i want this want this you should know you should know you should know that i got this got this you should know you should know you should know that i want this want this you should know you should know you should know that i got this ima put some goddamn moves on you babe i know you need it die a double death for you death for your secrets ill find another way for you wait til you see it put some goddamn moves on you god knows you need it ima put some goddamn moves on you babe i know you need it die a double death for you death for your secrets ill find another way for you wait til you see it put some goddamn moves on you god knows you need it,0,1
future,parov stelar,6xVRtkQwQsuCBUMhWue5Es,2023,179,150,-4,Major,2,10B,58,47,88,12,0,11,6,forward i dont wanna go back i dont wanna fall before the fight i can be the hero of the night if you let me i kept running from my problems letting everybody push me down it took a little time to turnaround but heavy is the head that wears the crown yeah are you ready for the future cause i am ready for a new day cause i am ready for a life worth living when the world starts singing again are you ready for the future cause i am ready for a new day cause i am ready for a life worth living when the world starts singing again are you ready for the future ready for a new day ready for a life worth living when the world starts singing again are you ready for the future cause i am ready for a new day cause i am ready for a life worth living when the world starts singing again i have been meaning to share with you how im feeling i should have started as soon as they started spreading their rumours cause im a young king throwing from the back of the line i get whats mine free your mind take another shot better hit this time i want it back i aint running back i might never lose im a rock star baby i already paid my dues been through the worst of it now my passion is permanent eyes front you can watch me win and maybe youll learn from it are you ready for the future ready for a new day ready for a life worth living when the world starts singing again are you ready for the future cause i am ready for a new day cause i am ready for a life worth living when the world starts singing again are you ready for the future cause i am ready for a new day cause i am ready for a life worth living when the world starts singing again are you ready for the future ready for a life worth living when the world starts singing again ready for a new day oh ready for a new day,0,1
