name_lower,artist_lower,spt_id,release_year,length (total sec),tempo,loudness,scale,key (num),camelot,af_hap,af_dan,af_enr,af_aco,af_ins,af_liv,af_spe,lyric,is_bb
youngblood,5 seconds of summer,2iUXsYOEPhVqEBwsqP70rE,2018,203,120,-5,Minor,7,6A,15,60,85,2,0,12,46,"remember the words you told me
love me til the day i die
surrender my everything
cause you made me believe youre mine
yeah you used to call me baby
now youre callin me by name mm
takes one to know one yeah
you beat me at my own damn game
you push and you push and im pullin away
pullin away from ya
i give and i give and i give and you take
give and you take
youngblood
say you want me say you want me outta your life
and im just a dead man walkin tonight
but you need it yeah you need it all of the time yeah ooh
youngblood
say you want me say you want me back in your life
so im just a dead man crawlin tonight
cause i need it yeah i need it all of the time yeah ooh
lately our conversations
end like its the last goodbye
then one of us gets too drunk
and calls about a hundred times
so who you been callin baby
nobody could take my place
when youre lookin at those strangers
hope to god you see my face ooh
youngblood
say you want me say you want me outta your life
and im just a dead man walkin tonight
but you need it yeah you need it all of the time yeah ooh
youngblood
say you want me say you want me back in your life
so im just a dead man crawlin tonight
cause i need it yeah i need it all of the time yeah ooh
you push and you push and im pullin away
pullin away from ya
i give and i give and i give and you take
give and you take
youre runnin around and im runnin away
runnin away from ya mm from ya
youngblood
say you want me say you want me outta your life
and im just a dead man walkin tonight
but you need it yeah you need it all of the time yeah ooh
youngblood
say you want me say you want me back in your life
so im just a dead man crawlin tonight
cause i need it yeah i need it all of the time yeah ooh
you push and you push and im pullin away
pullin away from ya
i give and i give and i give and you take
give and you take
youngblood
say you want me say you want me outta your life
and im just a dead man walkin tonight",1
the tide is high - live,blondie,4lDOGXgNqQZqEPA9nonR6t,2015,220,112,-10,Major,11,1B,83,56,69,0,0,67,3,"the tide is high but im holdin on
im gonna be your number one
im not the kinda girl who gives up just like that oh no
its not the things you do that tease and hurt me bad
but its the way you do the things you do to me
im not the kinda girl who gives up just like that oh no
the tide is high but im holdin on
im gonna be your number one number one
every girl wants you to be her man
but ill wait my dear till its my turn
im not the kinda girl who gives up just like that oh no
the tide is high but im holdin on
im gonna be your number one number one number one
every girl wants you to bе her man
but ill wait my dear till its my turn
im not the kinda girl who givеs up just like that oh no
the tide is high but im holding on
im gonna be your number one number one number one
the tide is high but im holding on
im gonna be your number one
the tide is high but im holding on
im gonna be your number one
the tide is high but im holding on
im gonna be your number one",0
change tomorrow,nipsey hussle,4bIm4FMRH7wDXsOEHHEBz2,2013,127,86,-3,Minor,8,1A,60,65,95,6,0,35,35,"whats your life like nigga mines great
i done made it out despite my citys crime rate
every single rule nigga thats what i break
hit me like a omen seize the moment hussle why wait
one thing i never do is exercise hate
but im the illest nigga doin this in my state
probably my country probably this world
anywhere i see myself i bet i get there
if theres a throne to be sat on i bet i sit there
if theres a crown to be worn i bet it fit yea
call me king nip c note you niggas is pussy
3 squares like c low
blood suckin people like man made mosquitos
once a month a nigga still gotta see my po
had so many cars but i aint never seen a repo
leather seat flow sippin mile high mojitos
before success is what comes after calico
niggas chase fame like oj and clicquot
quick sand stance pay attention watch em sink slow
in retrospect 15 was like cinco
seconds in the spot light and watch em walk off
know you official when the referee is in for you
and all your hip hop role models is startin to mention you
resurrect the west im just doin what im meant to do
two words then who if it isnt dude ",0
worth a thousand words,mayday parade,56baab14qPpWQDgJAz8Yql,2014,222,108,-4,Major,1,3B,26,51,95,0,0,11,5,"im not your perfect picture
im not your favorite song
im not your hand to hold
not the answer to your problems
so dont talk to me like im some hero laced in gold
and i cant love you
no i cant love you enough
the thoughts been eating away whats love
and i cant love you
no i cant love you enough
so promise me youll try
youre cut away from something that i cant change
were about to break
and even if you lie
the world will just forgive you
but dont forget that our love is dead
were meant to be the strong ones
yet the things we think about are the things we cant control
but i cant help but struggle
but i cant help but struggle
when the person that i am is the person i dont know
ive broken in the brightest city
and i fall apart to all the pretty songs
the thoughts been eating away once again
its hard to talk when theres no meaning
im half awake and far from dreaming
and every time you call my name
i swear to you ill come
so promise me youll try
youre cut away from something that i cant change
were about to break
and even if you lie
the world will just forgive you
but dont forget that our love is dead
i could be your heart
reaching for the stars
run away with me
we know what we are
so promise me youll try
to grab a hold of something to keep you safe
and i promise that ill sing you to sleep
i promise that ill sing you to sleep
believe me
when theyve been mistaken for a tragedy
its obvious youre faking
but youre not convincing me youre singing along
so promise me youll try
youre cut away from something that i cant change
were about to break
and even if you lie
the world will just forgive you
but dont forget that our love is dead
i could be your heart
reaching for the stars
run away with me
we know what we are
so promise me youll try
to grab a hold of something to keep you safe
and i promise that ill sing you to sleep
and even if you lie
the world will just forgive you again",0
say something,a great big world & christina aguilera,6Vc5wAMmXdKIAM7WUoEb7N,2014,229,141,-9,Major,2,10B,8,41,15,86,0,9,4,"say something im giving up on you
ill be the one if you want me to
anywhere i wouldve followed you
say something im giving up on you
and i am feeling so small
it was over my head
i know nothing at all
and i will stumble and fall
im still learning to love
just starting to crawl
say something im giving up on you
im sorry that i couldnt get to you
anywhere i wouldve followed you
say something im giving up on you
and i will swallow my pride
youre the one that i love
and im saying goodbye
say something im giving up on you
and im sorry that i couldnt get to you
and anywhere i wouldve followed you oh
say something im giving up on you
say something im giving up on you
say something",1
+1,kid quill,3ON6Y6KAlNjOyj4wEquCRz,2017,182,176,-8,Major,5,7B,70,69,61,5,0,17,26,"lets do it
yeah okay i came and did it solo
let my music do the talking and the promo
you know i got more music on my phone than i got photos
and i better get a chunk full of change im done doing it pro bono
and i promise i aint really with the gimmicks im in it
i been traveling so much theyd think im moving my pivot
used to open up the shows now they letting me finish
and god damn it thats a hell of a feeling
thank you later nice to know ya yeah
i got more liquor in my cup than i got soda oh shit
my homies into it im feeling it just let me get a minute
and i hope what im saying aint too repetitive
man you the one im checking im like one two like one two
okay im chillin by the fire eating fondue
okay no justin this is just in
im about to throw a party right now just us two run it
okay if i threw a party for two yeah let me tell you what id do
id send an invite with your name on it
straight out of the heart i aint writing game on it
so go and tell your friends that you cant come uhhuh
you got plans with a real one uhhuh
aye okay now if i threw a party for two straight up
yeah you would be my 1
i know your mom hate me dad too yup
but they aint gotta know about it when you come through
i aint tryna to see your friends yeah im tryna see you
tell somebody grab the gin cause you know i got the juice
man i got them all like okay uhhuh
yall need to go away uhhuh
man ive been all over the net just like a goalie uhhuh
i smile on my worst days uhhuh
but fuck it ive been down but im goodie
man im the type to hit the club in a hoodie
man who the fuck you think it is though
yeah i got my music on my phone than i got friends though
and ima tell you how i feel i dont pretend though
its all about we and i aint talking nintendo
i slow it down let it breathe yeah
its not the secrets that you know its bout the promises you keep
and uh im about to throw a private party
and the only ones coming to it are you and me
okay if i threw a party for two yeah let me tell you what id do
id send an invite with your name on it
straight out of the heart i aint writing game on it
so go and tell your friends that you cant come uhhuh
you got plans with a real one uhhuh
yuh aye okay now if i threw a party for two straight up
yeah you would be my 1
it was the winter of 1959 and a friend of mine and i were driving down the street in my 1956 buick convertible and we saw a couple girls come out of the drug store so we went around the block we talked to them and one was so stunning shes the one whos now your grandmother so just follow your heart
okay if i threw a party for two yeah let me tell you what id do
id send an invite with your name on it
straight out of the heart i aint writing game on it
so go and tell your friends that you cant come uhhuh
you got plans with a real one uhhuh
yuh aye okay now if i threw a party for two straight up
yeah you would be my 1",0
moments,mitis,1S1SmyaFUHdAVAl16eZlgj,2017,278,150,-3,Major,2,10B,18,50,78,46,0,10,5,"tangled up in parallel lines
heading down the road at different times
its getting harder to collide when im oh
stuck on the other side
ooh oohooh
ooh oohooh ooh
ooh oohooh
ooh oohooh
these little moments
they keep me going
we lay in the silence
you keep my heart open
these little moments
they keep me going
we lay in the silence
you keep my heart open
i know i can get so emotional
im grateful that you are someone to hold
through all of these nights when i lay awake
dont know how much more i can take
all that i know is when youre next to me
i can finally breathe
i can finally
oohooh
ooh oohooh
these little moments
they keep me going
we lay in the silence
you keep my heart open
i know i can get so emotional
im grateful that you are someone to hold
through all of these nights when i lay awake
dont know how much more i can take
all that i know is when youre next to me
i can finally breathe
i can finally",0
twisted,hardwell,2hVKyTO50HPKfVmFas7Fcm,2023,184,135,-6,Major,8,4B,9,53,97,0,1,32,5,"your mind is twisted
how can i resist it
your mind is twisted
how can i resist it
your mind is twisted
how can i resist it
your mind is twisted
how can i resist it
your mind is twisted
how can i resist it
your mind is twisted
your mind is twisted
your mind is twisted
your mind is twisted
your mind is twisted
your mind is twisted
your mind is twisted
how can i resist it
your mind is twisted
how can i resist it
your mind is twisted
how can i resist it
your mind is twisted
how can i resist it
your mind is twisted
how can i resist it
your mind is twisted
how can i resist it
your mind is twisted
how can i resist it
your mind is twisted
how can i resist it
your mind is twisted
how can i resist it
your mind is twisted
how can i resist it
your mind is twisted
how can i resist it
your mind is twisted
how can i resist it
your mind is twisted
how can i resist it
your mind is twisted
your mind is twisted
your mind is twisted
your mind is twisted
your mind is twisted
your mind is twisted
your mind is twisted
how can i resist it",0
talk dirty,jason derulo,6g6A7qNhTfUgOSH7ROOxTD,2013,177,100,-7,Major,6,2B,76,76,65,3,0,31,23,"jason hahaha
jason derulo
hahaha
get jazzy on em
im that flight that you get on international
firstclass seat on my lap girl ridin comfortable oh yeah ha
cause i know what da girl dem need new york to haiti
i got lipstick stamps on my passport you make it hard to leave
been around the world dont speak the language uhhuh
but your booty dont need explainin uhhuh
all i really need to understand is uhhuh
when you
talk dirty to me
talk dirty to me what
talk dirty to me
talk dirty to me what
get jazzy on em
you know the words to my songs no habla inglés oh
our conversations aint long but you know what is
i know what the girl dem want london to taiwan
i got lipstick stamps on my passport i think i need a new one
been around the world dont speak the language uhhuh
but your booty dont need explainin oh uhhuh
all i really need to understand is uhhuh
when you
talk dirty to me woo
talk dirty to me haha what
talk dirty to me talk yeah
talk dirty to me ayy what uh yeah
uno met your friend in rio
dos she was all on me oh
trés we could ménage à three though
cuatro oh yeah 2 chainz
dos cadenas close to genius
soldout arenas you can suck my penis ooh damn
gilbert arenas guns on deck deck
chest to chest tongue on neck neck
international oral sex
every picture i take i pose a threat yeah oh
bought a jet whatd you expect
her pussys so good i bought her a pet oh oh oh oh
anyway every day im tryna get to it
got her saved in my phone under big booty haha
anyway every day im tryna get to it
got her saved in my phone under big booty
been around the world dont speak the language uhhuh
but your booty dont need explainin uhhuh
all i really need to understand is uhhuh
when you
talk dirty to me you do
talk dirty to me yeah yeah
talk dirty to me talk to me talk ah ooh
talk dirty to me oh yeah oh
get jazzy on em
what i dont understand",1
higher love (feat. viktor norén & gustaf norén),state of sound,4nYKI0JqkWfr1YbmH4ADEM,2016,244,110,-11,Major,7,9B,35,65,43,67,0,13,3,"i thought i was a dreamer
but its not a dream
im falling so much deeper
into what is real
my eyes are open and i see it
im no longer blind
you lead the way out of this fever
into a peace of mind
i want you higher love
cause theres no sky above
and i know all the pain will be over
when you carry my weight on your shoulder
i want you higher love
cause theres no sky above
theres a light coming on the horizon
that forever will shine like a diamond
i want you higher love
cause theres no sky above
though that i was leaving
but i got stuck between your thighs
a different kind of freedom
i wait for you to shine
i be down in heavy breathing
wind under your wings
deeper for you my demon
my queen of everything
and its slowly flowing through my body can you feel it
i want you higher love
cause theres no sky above
and i know all the pain will be over
when you carry my weight on your shoulder
i want you higher love
cause theres no sky above
theres a light coming on the horizon
that forever will shine like a diamond
i want you higher love
cause theres no sky above
fall asleep living wake up to
to a new day brand new day
fall asleep living wake up to
to a new day brand new day
and i know all the pain will be over
when you carry my weight on your shoulder
i want you higher love
cause theres no sky above
theres a light coming on the horizon
that forever will shine like a diamond
i want you higher love
cause theres no sky above
fell asleep living wake up to
to a new day brand new day
fell asleep living wake up to
to a new day brand new day
fell asleep living wake up to",0
"july 4, 2020: aphelion",sleeping at last,1tyfx8Ia1nTgpujgKFugss,2020,187,119,-17,Minor,9,8A,4,24,20,99,86,10,4,"i feel far away
i feel far away
i feel far away
a million miles away
i feel it in my soul
aphelion
aphelion
aphelion
healing begins
healing begins",0
arcade,duncan laurence,1Xi84slp6FryDSCbzq4UCD,2019,183,72,-13,Minor,9,8A,27,45,33,82,0,14,4,"a broken heart is all thats left
im still fixing all the cracks
lost a couple of pieces when
i carried it carried it carried it home
im afraid of all i am
my mind feels like a foreign land
silence ringing inside my head
please carry me carry me carry me home
ive spent all of the love i saved
we were always a losing game
smalltown boy in a big arcade
i got addicted to a losing game
ohohohoh ohohohoh
all i know all i know
loving you is a losing game
how many pennies in the slot
giving us up didnt take a lot
i saw the end fore it begun
still i carried i carried i carry on
ohohohoh ohohohoh
all i know all i know
loving you is a losing game
ohohohoh ohohohoh
all i know all i know
loving you is a losing game
i dont need your games game over
get me off this rollercoaster
ohohohoh ohohohoh
all i know all i know
loving you is a losing game
ohohohoh ohohohoh
all i know all i know
loving you is a losing game",1
rio grande,the oh hellos,6vQzDYRYwVv3YQIaeMmT7N,2020,180,130,-9,Major,6,2B,30,36,49,53,0,12,3,"somewhere down south of here
theres a woman with an armload of grass
weaving a basket
thatll float the rio grande
shell send her baby off in it
the river running wild and fast
to curry the favor
of whatever pharaoh owns the land
a seed of an idea like mustard greens
like newborn fingers
curled and half asleep
awake
from her mouth a vineyard
of swears and hallelujahs entwined
a new wine is vinted
a blend of sweet commandment
oh to hell with the semantics
the camel and the cable confide
the eye of a needle
is tall enough to stand inside
a seed of an idea like mustard greens
like newborn fingers
curled and half asleep
awake with a thunder from underneath
stretch up and reach through
the hardest part of me
may all our tinfoil idols
lay crumpled on the ground
and our prefab olympus
divided by the thousand
oh maybe im naive for thinking
that a mountain so stubborn can move
but if im a mountain moving
i think maybe you can be too",0
"knowledge - live at the electric factory, philadelphia 11/14/97",green day,3ZiOxFTHhVWe4ckApB1CJd,2023,368,168,-4,Major,6,2B,58,23,94,1,0,21,7,"i know things are getting tougher
when you cant get the top off the bottom of the barrel
wide open road of my future now
its looking fucking narrow
all i know is that i dont know
all i know is that i dont know nothing
all i know is that i dont know
all i know is that i dont know nothing
we get taught to decide
just like as if im not going to change my mind
all i know is that i dont know
all i know is that i dont know nothing
all i know is that i dont know
all i know is that i dont know nothing
oh my god
she like my rocknroll guitar solo baby
cause i was born to be wild
what
what do you mean it sucked
what do you mean it fucking sucked
oh no no i saw it guys
no alright
what do you think you can do better
who can do better
who can play the fucking guitar
no who knows how to play the fucking guitar
i wanna know who knows how
does someone know how to play
does anybody down there know how to play
seriously
ya ya swear to god
ya swear to holy god
you swear
okay listеn
cause if you dont know how to play and you get up herе
everyone here is gonna kick your ass
you can do it
you know one chord
yeah get his ass up here cmon
cmon bring him up
keep in mind that this is not a planned thing
we did not plan this
just happened to be here
oh jesus christ hes a big fucker
come up here
whatcha gonna do with yourself
boy you better make up your mind
whatcha gonna do with yourself
son youre running out of time
all i know is that i dont know
all i know is that i dont know nothing
all i know is that i dont know
all i know is that i dont know nothing
all i know is that i dont know
all i know is that i dont
all i know is that
oh my god
nothing
alright hot dog
heh heh
alright hot dog chill
ah wait now you gotta go out the hard way
dont forget to kick his ass
theres only one way off this stage
and thats fine",0
wiggle,jason derulo,2sLwPnIP3CUVmIuHranJZU,2013,193,82,-7,Minor,9,8A,72,70,62,8,0,16,25,"ayo jason oh yeah
say somethin to her holla at her
haha i got one question oh
haha howd you fit all that oh
in them jeans hahaha
you know what to do with that big fat butt
wiggle wiggle wiggle
wiggle wiggle wiggle
wiggle wiggle wiggle
just a little bittle
swing
patty cake patty cake wit no hands
got me in this club making wedding plans
if i take pictures while you do your dance
i could make you famous on instagram
hot dammit woo
your booty like two planets woo
go head and go ham sandwich woo
woah i cant stand it
cause you know what to do with that big fat butt
wiggle wiggle wiggle
wiggle wiggle wiggle
wiggle wiggle wiggle
just a little bittle
swing
cadillac cadillac pop that trunk
lets take a shot alleyoop that donk
tired of working that ninetofive
well baby let me come and change your life
hot dammit woo
your booty like two planets woo
go head and go ham sandwich woo
woah i cant stand it
cause you know what to do with that big fat butt oh yeah
wiggle wiggle wiggle
wiggle wiggle wiggle wiggle wiggle wiggle
wiggle wiggle wiggle shake it shake it girl
just a little bittle little bittle little bittle little bittle
swing
shake what your mama gave you misbehave you
i just wanna strip you dip you flip you bubble bathe you
what they do taste my raindrops kay boo
now what youre willing what you wanting what you may do
completely separated til i deeply penetrate it
then i take it out and wipe it off eat it ate it love it hate it
overstated underrated everywhere i been
can you wiggle wiggle for the dodouble g again
come on baby turn around
turn around turn around turn around yeah
youre a star girl take a bow
take a bow take a bow take a bow haha yeah
its just one thing thats killing me woahohoh ahah
how do you fit that in them jeans woahohoh
you know what to do with that big fat butt
wiggle wiggle wiggle wiggle wiggle wiggle
wiggle wiggle wiggle wiggle wiggle wiggle
wiggle wiggle wiggle shake it shake it girl
just a little bittle oh woah little bittle wiggle wiggle wiggle
wiggle wiggle wiggle
now make it clap
wiggle wiggle wiggle
now make it clap
wiggle wiggle wiggle
now make it clap love it when you do it like that
just a little bittle no hands baby make it clap clap clap like
now make it clap clap clap
swing
damn baby you got a bright future behind you",1
everybody,nicki minaj,5ZJGv7aGdIr9IGpxzSG18T,2023,180,138,-6,Minor,11,10A,39,74,77,3,0,23,26,"mm
aint gang if you let shit slide
aint bad if you gotta dick ride
big guns and a lot of zip ties
said she look like me quit lyin ayy smallz is that you
dont stop dont stop dont stop dont stop dont stop dont stop the beat
dont stop dont stop dont stop dont stop cant stop wont stop the beat
dont stop dont stop dont stop dont stop i wont stop wont the beat lets go
dont stop hey hey hey
we gon spin and kill everybody
these bitches fuck everybody
a nigga tellin on everybody
oh move your feet and feel u
we gon spin and kill everybody
these bitches fuck everybody
a nigga tellin on everybody
oh ayo move your feet and feel u
all these bitches on my body
spent another bag on my body
nah nigga you aint fucked a new body
every whip heavy on it new body
shorty mad cause she aint no body
pretty face with a barbie doll body
nother year nother vince lom body
oh move your feet and feel u
dddont stop the beat dont stop the beat target
dddont stop the beat dont stop the beat neutralize
dddont stop the beat dont stop the beat trigger
dddont stop the beat dont stop the beat shoot fire
dont stop dont stop fire
dont stop dont stop fire
dont stop fire dont stop the beat
cant stop lets go cant stop the beat fire
we gon spin and kill everybody
these bitches fuck everybody
a nigga tellin on everybody
oh move your feet and feel u
we gon spin and kill everybody
these bitches fuck everybody
a nigga tellin on everybody
oh move your feet and feel u
i aint tryna be buddy body
im a multimillion dollar home body
hollow points gonna go through your body
washin them bitches bath and body
he be kissin all over my body
get his dick stiffer than a roll body
nother year nother vince lom body
oh move your feet and
dddont stop the beat dont stop the beat target
dddont stop the beat dont stop the beat neutralize
dddont stop the beat dont stop the beat trigger
dddont stop the beat dont stop the beat shoot fire
dont stop dont stop fire
dont stop dont stop fire
dont stop fire dont stop the beat
cant stop lets go cant stop the beat fire
we gon spin and kill everybody this aint what you want
these bitches fuck everybody this aint what you want
a nigga tellin on everybody this aint what you want
oh move your feet and feel u this aint what you want
we gon spin and kill everybody this aint what you want
these bitches fuck everybody this aint what you want
a nigga tellin on everybody this aint what you want
oh move your feet and feel u
lil uzi woah body
better than every body
my felonys catchin body
they dont even know my body woah
all my bitches get jealous body
buy em all a bbl fore they got a body
one two three four five just throwin my high body
beat so hard that a nigga might die move your feet and
damn
dddont stop the beat dont stop the beat this aint what you want ah
dddont stop the beat dont stop the beat this aint what you want ah
dddont stop the beat dont stop the beat this aint what you want ah
dddont stop the beat dont stop the beat this aint what you want ah
all of my bitches get jealous dddont stop the beat dont stop the beat haha
like an old school girl im still rockin them pelles dddont stop the beat dont stop the beat haha
got a young bitch like a nigga own belly dddont stop the beat dont stop the beat haha
himalayan pussy worth way more than a kelly dddont stop the beat dont stop haha
good coochie worth way more than a what dont stop dont stop woah
i like to see it from the front when i look at your butt dont stop dont stop
she got the junk in her trunk thats the reason why im cuffed dont stop dont stop
i dont even care if my opp really my cousin dont stop dont stop
all of my niggas dont stop they slide with the button lets go lets go brrt brrt
we gon spin and kill everybody
these bitches fuck everybody
a nigga tellin on everybody
oh move your feet and feel u
we gon spin and kill everybody
these bitches fuck everybody
a nigga tellin on everybody
oh move your feet and feel u
body body body body
body body body
move your feet and feel u
dont stop the beat dont stop the beat
dddont stop the beat dont stop the beat",1
jon lends a hand,devendra banhart,71QRhIccCmaxuDInqIO5xq,2016,153,106,-12,Minor,2,7A,57,69,37,96,78,11,4,"i know the whole world says to you
but im gonna say it too
theres no one i ever knew
quite as beautiful as you
as beautiful as you
as beautiful as you
oh jonathan jonathan
these are your chords
im borrowing them im borrowing them
just to convey
how very beautiful she looks today
sí sí
i hope that you dont mind
ill give em back after im done
one more chorus line and its the end of the song
i know the whole world says to you
but im gonna say it too
theres no one i ever knew
quite as beautiful as you
as beautiful as you
as beautiful as you
as beautiful as you
as beautiful as you
as beautiful as you
as beautiful as you
as beautiful as you
as beautiful as you
as beautiful as you
as beautiful as you
as beautiful as you
as beautiful as you",0
shirt,sza,2wSTnntOPRi7aQneobFtU4,2022,181,120,-8,Minor,3,2A,57,85,51,23,0,9,10,"kiss me dangerous
been so lost without you all around me
get anxious
lead me dont look back
its all about you
in the dark right now
feelin lost but i like it
comfort in my sins and all about me
all i got right now
feel the taste of resentment
simmer in my skin its all about
bloodstain on my shirt
new bitch on my nerves
old nigga got curved
goin back on my word
damn bitch you so thirsty
still dont know my worth
still stressin perfection
let you all in my mental
got me lookin too desperate
damn you aint deserve
broad day sunshine
ill find a way to fuck it up still
cant cry about the shit that i cant change
just my mind
gotta get outta here
tough crowd hate it
cant stay
in the dark right now
feelin lost but i like it
comfort in my sins and all about me 
all i got right now
feel the tastе of resentment 
simmеr in my skin its all about
bloodstain on my shirt
new bitch on my nerves
old nigga got curved
goin back on my word
damn bitch you so thirsty
still dont know my worth
still stressin perfection
let you all in my mental
got me lookin too desperate 
damn
its what you say and how you do me
how im posed to trust baby posed to love
it aint posed to hurt this way
all i need is the best of you
baby how i got to say it give me all of you
in the dark right now
feelin lost but i like it
comfort in my sins and all about me
all i got right now
feel the taste of resentment
simmer in my skin its all about
bloodstain on my shirt
new bitch on my nerves
old nigga got curved
goin back on my word
damn bitch you so thirsty
still dont know my worth
still stressin perfection
let you all in my mental
got me lookin too desperate
damn you aint deserve",1
like i love country music,kane brown,3j1xkzTW8owIphkWV51V9s,2022,234,125,-6,Major,8,4B,70,54,82,0,0,6,4,"lets get it
girl you gone and done it to me hotter than a hoochiecoochie
got me like the first time i heard alan jackson chattahoochee
i was never the same again im a lifelong fan
yes i am
baby i love you like i love country music
you get me high as willie girl you get me gone as jones
you turn me on as much as i turn on my radio
lets take our time walk the line kinda like
johnny and june did yeah lets do this
baby i love you like i love country music
causе i could never live without ya or my favoritе songs about ya
toptobottom perfect youre like brooks  dunns debut album
you got me feelin like im a brand new man oh im a brand new man
yes i am
baby i love you like i love country music
yeah i love country music oh
you get me high as willie girl you get me gone as jones
you turn me on as much as i turn on my radio
lets take our time walk the line kinda like
johnny and june did yeah lets do this
baby i love you like i love country music
hit em with it woo
play that fiddle
if i was stranded on an island only way i could survive is
if i had you and that needle droppin on a vinyl
you get me high as willie girl you get me gone as jones
you turn me on as much as i turn on my radio
lets take our time walk the line kinda like
johnny and june did yeah lets do this
baby i love you like i love country music
oh baby i love you like i love country music
yeah thats right
one two one two three woo
thats right
baby i love you like i love country music
hit em again",1
h.o.l.y.,florida georgia line,0BCy325UZyR9z0t0uxwn2N,2016,194,78,-4,Minor,7,6A,56,52,67,40,0,7,3,"when the sun had left and the winter came
and the sky fall to only bring the rain
i sat in darkness
all brokenhearted
i couldnt find a day i didnt feel alone
i never meant to cry started losin hope
but somehow baby
you broke through and saved me
youre an angel tell me youre never leavin
cause youre the first thing i know i can believe in
youre holy holy
holy holy
im high on lovin you
high on lovin you
youre holy holy
holy holy
im high on lovin you
high on lovin you
you made the brightest days from the darkest nights
youre the river bank where i was baptized
cleansed from the demons
that were killin my freedom
let me lay you down give me to ya
get you singin babe hallelujah
well be touchin
well be touchin heaven
youre an angel tell me youre never leavin
cause youre the first thing i know i can believe in
youre holy holy
holy holy
im high on lovin you
high on lovin you
youre holy holy
holy holy
im high on lovin you
high on lovin you
i dont need these stars cause you shine for me shine for me
like fire in my veins youre my ecstasy
youre my ecstasy
youre holy holy
holy holy
im high on lovin you high on lovin you
high on lovin you high on lovin you
youre holy holy lovin you
holy holy
im high on lovin you
high on lovin you
youre the healin hands where it used to hurt
youre my savin grace youre my kind of church
youre holy",1
uma thurman,fall out boy,5PUawWFG1oIS2NwEcyHaCr,2015,211,150,-3,Minor,4,9A,68,62,96,10,0,26,9,"i can move mountains
i can work a miracle work a miracle oohohoh
ill keep you like an oath
may nothing but death do us part
she wants to dance like uma thurman
bury me til i confess
she wants to dance like uma thurman
and i cant get you out of my head
the stench the stench of summer sex
and ck eternity oh hell yes
divide me down to the smallest i can be
put your put your vvvenom in me
i can move mountains
i can work a miracle work a miracle oohohoh
ill keep you like an oath
may nothing but death do us part
she wants to dance like uma thurman
bury me til i confess
she wants to dance like uma thurman
and i cant get you out of my head
the blood the blood the blood of the lamb
is worth two lions but here i am
and i slept in last nights clothes and tomorrows dreams
but theyre not quite what they seem
i can move mountains
i can work a miracle work a miracle oohohoh
ill keep you like an oath
may nothing but death do us part
youll find your way
and may death find you alive
take me down the line
in gem city we turn the tide
youll find your way
and may death find you alive
take me down the line
in gem city we turn the tide
she wants to dance like uma thurman
bury me til i confess
she wants to dance like uma thurman
and i cant get you out of my head my head
i can move mountains
i can work a miracle work a miracle oohohoh
ill keep you like an oath
may nothing but death do us part
i can move mountains
i can work a miracle work a miracle oohohoh
ill keep you like an oath
may nothing but death do us part",1
summertime sadness,lana del rey,1Ist6PR2BZR3n2z2Y5R6S1,2012,264,112,-7,Minor,1,12A,22,57,65,5,0,12,3,"kiss me hard before you go
summertime sadness
i just wanted you to know
that baby you the best
i got my red dress on tonight
dancin in the dark in the pale moonlight
done my hair up real big beauty queen style
high heels off im feelin alive
oh my god i feel it in the air
telephone wires above are sizzlin like a snare
honey im on fire i feel it everywhere
nothin scares me anymore one two three four
kiss me hard before you go
summertime sadness
i just wanted you to know
that baby you the best
i got that summertime summertime sadness
sususummertime summertime sadness
got that summertime summertime sadness
oh oh oh
im feelin electric tonight
cruisin down the coast goin bout 99
got my bad baby by my heavenly side
i know if i go ill die happy tonight
oh my god i feel it in the air
telephone wires above are sizzlin like a snare
honey im on fire i feel it everywhere
nothin scares me anymore one two three four
kiss me hard before you go
summertime sadness
i just wanted you to know
that baby you the best
i got that summertime summertime sadness
sususummertime summertime sadness
got that summertime summertime sadness
oh oh oh
think ill miss you forever
like the stars miss the sun in the morning sky
laters better than never
even if youre gone im gonna drive drive
drive
i got that summertime summertime sadness
sususummertime summertime sadness
got that summertime summertime sadness
oh oh oh
kiss me hard before you go
summertime sadness
i just wanted you to know
that baby you the best
i got that summertime summertime sadness
sususummertime summertime sadness
got that summertime summertime sadness
oh oh oh",1
one million dollars,swanky tunes,48ANRZNlUoBElQztu4hv3I,2017,178,125,-5,Major,1,3B,54,79,79,0,2,33,14,"one million dollars
one million dollars
one million dollars
one million dollars
one million dollars
one million dollars
one million dollars
one million
oh
one million
one million dollars
one million dollars
one million dollars
one million dollars
one million dollars
one million dollars
one million dollars
one million
oh",0
